Artist_Name,Birth_Year,Turnover,Sold Lots,Highest Price
Arthur Secunda,1927,,,
Artrouble,1978,,,
Artur Zmijewski,1966,,,
Arturo Herrera,1959,,,
Arturo Sandoval,1942,,,
Arturo Vega,1943,,,
Arturo Villaamil,1947,,,
Arturo Vittori,1971,,,
Asao Sakamoto,1950,,,
Ashley Bickerton,1959,,,
Ashley Hunt,1970,,,
AslÄ± Ã‡avuÅŸoÄŸlu,1982,,,
Assane KouyatÃ©,1954,,,
"Asymptote Architecture, New York",1989,,,
"AT&T Bell Laboratories, Murray Hill, NJ",1925,,,
ATCO Records,1955,,,
Athena Rachel Tsangari,1966,,,
Athena Tacha,1936,,,
Ati Maier,1962,,,
Atlantic Records,1947,,,
Atom Egoyan,1960,,,
Atsuko Tanaka,1932,,,
Aubrey Schwartz,1928,,,
Audrey Flack,1931,,,
August Ruhs,1946,,,
August Walla,1936,,,
Augustin CÃ rdenas,1927,,,
Augustin Scott de Martinville,1980,,,
Augusto Rivera,1922,,,
Aurino Valenca Lins Darel,1925,,,
"Authentics artipresent GmbH, Germany",1981,,,
Autodesk Inc.,1982,,,
Ava Gerber,1961,,,
Avery Coffey Danziger,1953,,,
Avery Singer,1987,858389,3,735000
Avigdor Arikha,1929,,,
Avram Finkelstein,1952,,,
Axel Cassel,1955,,,
Axel KassebÃ¶hmer,1952,,,
Axel Schmid,1971,,,
Ayah Bdeir,1982,,,
Ay-O,1931,,,
Ayse Birsel,1964,,,
Ayse Erkmen,1949,,,
Ayse Sulan Kolatan,1958,,,
Ayumi Shino,1959,,,
Ã–yvind FahlstrÃ¶m,1928,,,
Azaria Mbatha,1941,,,
Azazel Jacobs,1972,,,
B. Colin Greenly,1928,,,
B. Tillmann,1947,,,
BÃ¥rd Eker Industrial Design,1994,,,
BÃ¥rd LÃ¸tveit,1959,,,
BÃ¼lent Sangar,1965,,,
Bahman Ghobadi,1969,,,
Baldwin S. Lee,1951,,,
Bandai,1950,,,
"Bang & Olufsen, Struer, Denmark",1925,,,
Bani Abidi,1971,,,
Banks Violette,1973,,,
Barbara Ambrosz,1972,,,
Barbara Blondeau,1938,,,
Barbara Bloom,1951,,,
Barbara Bosworth,1953,,,
Barbara Brown,1932,,,
Barbara Buckner,1950,,,
Barbara Chase-Riboud,1939,,,
Barbara Crane,1928,,,
Barbara E. Fumagalli,1926,,,
Barbara Hammann,1945,,,
Barbara Hammer,1939,,,
Barbara Horosko,1950,,,
Barbara Jaffe,1942,,,
Barbara Kasten,1936,,,
Barbara Kruger,1945,1116960,23,287390
Barbara Norfleet,1926,,,
Barbara Probst,1964,,,
Barbara Sandler,1943,,,
Barbel Scianghetti,1939,,,
Barkow Leibinger Architects,1993,,,
Barnabas Wetton,1962,,,
Barnaby Furnas,1973,,,
Barney Bubbles (Colin Fulcher),1942,,,
Barney Ingoglia/The New York Times,1928,,,
Barney Kulok,1981,,,
Barrett Lyon,1978,,,
Barron Krody,1936,,,
Barry Bridgwood,1957,,,
Barry Cohen,1934,,,
Barry Deck,1962,,,
Barry Flanagan,1941,,,
Barry Frydlender,1954,,,
Barry Le Va,1941,,,
Barry Levinson,1942,,,
Barry McGee,1966,,,
Barry Shils,1956,,,
Barry Sonnenfeld,1953,,,
Bart Wasserman,1930,,,
Barthelemy Toguo,1967,,,
Barton Silverman/The New York Times,1942,,,
Bas Jan Ader,1942,,,
Bas Oudt,1956,,,
Bashir Zivari,1961,,,
Basim Magdy,1977,,,
Bastienne Schmidt,1961,,,
Baz Luhrmann,1962,,,
Bazon Brock,1936,,,
BBPR,1932,,,
Bea Maddock,1934,,,
Bea Nettles,1946,,,
Beastie Boys,1979,,,
Beat Streuli,1957,,,
Beatrice Trueblood,1938,,,
Beatrix Zobl,1970,,,
Beatriz Cifuentes,1975,,,
Beatriz GonzÃ¡lez,1938,,,
Beatriz Milhazes,1960,2129363,6,1158260
Beca Lipscombe,1973,,,
Beckermann,1952,,,
Bedrich Grunzweig,1944,,,
Bela KolÃ¡rovÃ¡,1923,,,
Bela Kondor,1931,,,
Bela Tarr,1955,,,
Belkis AyÃ³n,1967,,,
"Bell Laboratories, company design",1974,,,
Ben Affleck,1972,,,
Ben Drury,1972,,,
Ben Faydherbe,1958,,,
Ben Fry,1975,,,
Ben Johnson,1946,,,
Ben Katchor,1951,,,
Ben Kinmont,1963,,,
Ben Langlands,1955,,,
Ben Sakoguchi,1938,,,
Ben Schonzeit,1942,,,
Ben van Berkel,1957,,,
Ben Vautier,1935,,,
Benedict Tisa,1942,,,
Bengt af Klintberg,1938,,,
Bengt BÃ¶ckman,1936,,,
Bengt Landin,1933,,,
Bengt Palmgren,1944,,,
Bengt Westrell,1927,,,
Benjamin Aranda,1973,,,
Benjamin Cottam,1975,,,
Benjamin Degen,1976,,,
Benjamin Dennel,1983,,,
Benjamin Edwards,1970,,,
Benjamin Heisenberg,1974,,,
Benjamin Patterson,1934,,,
Benjamin Rivera,1967,,,
Benjamin Wheeler Howes,1983,,,
Benji Whalen,1968,,,
Benno Friedman,1945,,,
Benno Wissing,1923,,,
Benny Andrews,1930,,,
Bent Hamer,1956,,,
Bent Hedegaard Nobert,1959,,,
BERG,2005,,,
Berger (?),1938,,,
Berlinde De Bruyckere,1964,,,
Bern Boyle,1951,,,
Bernar HÃ©bert,1961,,,
Bernar Venet,1941,,,
Bernard Bazile,1952,,,
Bernard Buffet,1928,,,
Bernard Cohen,1933,,,
Bernard Frize,1949,633660,12,109719
Bernard Heidsieck,1928,,,
Bernard Joubert,1946,,,
Bernard Pierre Wolff,1930,,,
Bernard Quentin,1923,,,
Bernard Rancillac,1931,,,
Bernard Tschumi,1944,,,
Bernard William Hanning,1942,,,
Bernardo Bertolucci,1940,,,
Bernardo Ortiz Campo,1972,,,
Bernd Becher,1931,,,
Bernd Duerr,1953,,,
Bernd Lohaus,1940,,,
Bernd Ribbeck,1974,,,
Berndt Kerkin,1951,,,
Bernhard Blume,1937,,,
Bernhard Fruehwirth,1968,,,
Bernhard Fuchs,1971,,,
Bernhard LuginbÃ¼hl,1929,,,
Bernhard Martin,1966,,,
Berni Searle,1964,,,
Bert Stern,1929,,,
Bertien van Manen,1942,,,
Bertjan Pot,1975,,,
Bertrand Tavernier,1941,,,
Beryl Korot,1945,,,
Beta Tank,2007,,,
Beth B,1955,,,
Beth Brideau,1976,,,
Beth Campbell,1971,,,
Beth Van Hoesen,1926,,,
Betsey Johnson,1942,,,
Betsy Damon,1940,,,
"Better Shelter, Sweden",2010,,,
Bettina Sellmann,1971,,,
Betty Dodson,1929,,,
Betty Goodwin,1923,,,
Betty Hahn,1940,,,
Betty Woodman,1930,,,
Betye Saar,1926,,,
Betzaida ConcepciÃ³n,1977,,,
Beuford Smith,1941,,,
Bhupen P. Khakhar,1934,,,
Bi Gan,1989,,,
Bigas Luna,1946,,,
BIG-Bjarke Ingels Group,2005,,,
BIG-GAME,2004,,,
Bijan Zamanpira,1965,,,
Bill Arnold,1941,,,
Bill Aron,1941,,,
Bill Basquin,1970,,,
Bill Beckley,1946,,,
Bill Burke,1943,,,
Bill Cunningham/The New York Times,1929,,,
Bill Dane,1938,,,
Bill Daniel,1959,,,
Bill Gunn,1934,,,
Bill Hanson,1928,,,
Bill Harris,1958,,,
Bill Jacklin,1943,,,
Bill Jensen,1945,,,
Bill Moggridge,1943,,,
Bill Morrison,1965,,,
Bill Owens,1938,,,
Bill Seaman,1956,,,
Bill Sherwood,1952,,,
Bill Stewart,1920,,,
Bill Viola,1951,,,
Bill Woodrow,1948,,,
Billy Al Bengston,1934,,,
Billy Apple,1935,,,
Billy Childish,1959,,,
Billy Name,1940,,,
Billy Squier,1950,,,
Billy Sullivan,1946,,,
Bing Wright,1958,,,
Biomega,1998,,,
Birdhead,2004,,,
Birgit JÃ¼rgenssen,1949,,,
Birgit Megerle,1975,,,
Birgit SkiÃ¶ld,1923,,,
Birney Imes III,1951,,,
Bishin Jumonji,1947,,,
BjÃ¶rk,1965,,,
BjÃ¶rn Dahlem,1974,,,
Bjarke Ingels,1974,,,
Bjarne Melgaard,1967,313861,27,43444
Bjorn Copeland,1975,,,
Blake Edwards,1922,,,
Blake Rayne,1969,,,
Blanc et Demilly,1924,,,
Blinky Palermo,1943,,,
Blondie,1975,,,
Blue Note Records,1939,,,
Blythe Bohnen,1940,,,
Bob Byington,1975,,,
Bob Cato,1923,,,
Bob Danner,1948,,,
Bob Dolman,1949,,,
Bob Duran,1938,,,
Bob Dylan,1941,,,
Bob Evans,1950,,,
Bob Fosse,1927,,,
Bob Giraldi,1939,,,
Bob Hall,1951,,,
Bob Heimall,1943,,,
Bob Jackson,1934,,,
Bob Kane,1937,,,
Bob Noorda,1927,,,
Bob Olodort,1946,,,
Bob Pellegrini,1938,,,
Bob Peterson,1961,,,
Bob Rafelson,1933,,,
Bob Sabiston,1967,,,
Bob Schnepf,1937,,,
Bob Sheff,1945,,,
