Artist_Name,Turnover,Sold Lots,Highest Price,Top_500_Rank
Semyon FAIBISOVICH,"$377,795 ",6,"$88,897 ",361
GUO Guan,"$377,689 ",2,"$271,936 ",362
Sally MANN,"$365,746 ",23,"$75,000 ",363
QIU Xiaofei,"$365,680 ",2,"$267,949 ",364
Rick AMOR,"$365,228 ",18,"$92,314 ",365
Juan MUOZ,"$365,179 ",4,"$175,000 ",366
Izumi KATO,"$364,397 ",14,"$96,045 ",367
Chinami NAKAJIMA,"$362,125 ",61,"$52,163 ",368
Andy DENZLER,"$361,743 ",9,"$156,011 ",369
XU Huijun,"$359,492 ",2,"$179,746 ",370
Kenny SCHARF,"$356,751 ",22,"$137,500 ",371
Jane LEE,"$354,190 ",3,"$159,289 ",372
CHEN Fei,"$351,597 ",4,"$287,357 ",373
Wal-Chong LEE,"$351,427 ",15,"$61,182 ",374
David OSTROWSKI,"$349,720 ",18,"$51,976 ",375
Peter HOWSON,"$347,965 ",197,"$62,309 ",376
MO Ke,"$347,813 ",2,"$174,018 ",377
Safwan DAHOUL,"$345,789 ",4,"$198,789 ",378
Joaqun TORRENTS LLADO,"$344,772 ",56,"$74,832 ",379
Juan USLÉ,"$341,960 ",22,"$98,534 ",380
JI Dachun,"$341,090 ",8,"$102,931 ",381
Brent WADDEN,"$339,871 ",4,"$132,711 ",382
QIN Feng,"$337,772 ",2,"$286,784 ",383
SHEN Xiangyin,"$337,028 ",2,"$208,615 ",384
LIU Qinghe,"$336,567 ",7,"$191,268 ",385
Frederik VRSLEV,"$336,121 ",12,"$63,610 ",386
Terry WINTERS,"$335,602 ",31,"$68,750 ",387
Reza DERAKSHANI,"$334,823 ",4,"$149,040 ",388
Hunt SLONEM,"$328,812 ",49,"$23,125 ",389
Y.Z. KAMI,"$328,248 ",2,"$321,300 ",390
ZHAO Zhao,"$327,983 ",4,"$112,053 ",391
DUAN Zhengqu,"$326,072 ",4,"$191,420 ",392
Desire DOLRON,"$324,350 ",8,"$92,689 ",393
Ravinder REDDY,"$323,335 ",5,"$134,150 ",394
Rebecca QUAYTMAN,"$322,346 ",4,"$147,493 ",395
MR BRAINWASH,"$322,207 ",73,"$104,052 ",396
WU Changfu,"$321,933 ",1,"$321,933 ",397
Aboudia Abdoulaye DIARRASSOUBA,"$321,419 ",20,"$29,981 ",398
Nick BRANDT,"$320,577 ",14,"$118,311 ",399
Jorinde VOIGT,"$319,809 ",11,"$116,754 ",400
GUO Wei,"$319,635 ",8,"$106,626 ",401
XU Qingfeng,"$319,440 ",1,"$319,440 ",402
Saputra HANDIWIRMAN,"$318,579 ",1,"$318,579 ",403
Petra CORTRIGHT,"$314,786 ",10,"$65,000 ",404
Marcin MACIEJOWSKI,"$314,714 ",16,"$41,360 ",405
WANG Keju,"$313,903 ",6,"$63,791 ",406
Bjarne MELGAARD,"$313,861 ",27,"$43,444 ",407
David Kim WHITTAKER,"$311,039 ",4,"$112,616 ",408
WEN Wei,"$309,146 ",5,"$80,048 ",409
